domain,layer,artifact,metric_or_field,definition_or_usage,status,evidence
chronic_absenteeism,dbt_sql,oss_framework/dbt/models/mart_analytics/analytics/v_chronic_absenteeism_risk.sql,risk_level,CASE logic emits 'Critical'|'High'|'Medium'|'Low',PASS,source sql
chronic_absenteeism,dbt_sql,oss_framework/dbt/models/mart_analytics/analytics/v_chronic_absenteeism_risk.sql,chronic_absenteeism_risk_score,present as numeric score,PASS,source sql
chronic_absenteeism,rill_yaml,dashboards/chronic_absenteeism_risk.yaml,chronic_absence_rate,SUM(chronic_absence_flag)*100/COUNT(DISTINCT student_key),PASS,query_audit/rill_chronic_absence_rate.log
chronic_absenteeism,rill_yaml,dashboards/chronic_absenteeism_risk.yaml,high_risk_students,uses risk_level='high' lowercase,WARN,case mismatch with dbt values in source sql
chronic_absenteeism,json_definition,schema/chronic_absenteeism_definition.json,risk_classification,query references non-existent column,FAIL,query_audit/json_chronic_students_at_risk.log
chronic_absenteeism,json_definition,schema/chronic_absenteeism_definition.json,attendance_trend_30d,query references non-existent column,FAIL,query_audit/json_chronic_declining_attendance.log
chronic_absenteeism,json_definition,schema/chronic_absenteeism_definition.json,attendance_rate_60d,query references non-existent column,FAIL,query_audit/json_chronic_trends_analysis.log
chronic_absenteeism,python_dashboard,chronic_absenteeism_dashboard.py,risk filters,uses risk_level IN ('High','Critical'),PASS,query_audit/py_chronic_at_risk_count.log
chronic_absenteeism,python_dashboard,chronic_absenteeism_dashboard.py,score ordering,ORDER BY chronic_absenteeism_risk_score,PASS,query_audit/py_chronic_top_students.log
chronic_absenteeism,python_dashboard,chronic_absenteeism_dashboard.py,db path,hardcoded to openedDataEstate path,WARN,file content

equity_outcomes,dbt_sql,oss_framework/dbt/models/mart_analytics/analytics/v_equity_outcomes_by_demographics.sql,grain,grouped by race_ethnicity+EL+SPED+econ_disadv,PASS,source sql
equity_outcomes,rill_yaml,dashboards/equity_outcomes_by_demographics.yaml,avg_attendance,AVG(pct_good_attendance) with percentage format,WARN,percentage semantic check needed vs already 0-100
equity_outcomes,rill_yaml,dashboards/equity_outcomes_by_demographics.yaml,avg_gpa_above_2_5,present in root dashboard but missing in rill_project dashboard,WARN,diff output and rill_project audit
equity_outcomes,json_definition,schema/equity_outcomes_definition.json,demographic_category/query shape,references non-existent columns and student_count,FAIL,query_audit/json_equity_achievement_outcomes.log
equity_outcomes,json_definition,schema/equity_outcomes_definition.json,graduation_rate fields,references non-existent graduation_rate,FAIL,query_audit/json_equity_graduation_rate_race.log
equity_outcomes,json_definition,schema/equity_outcomes_definition.json,intervention fields,references non-existent intervention fields,FAIL,query_audit/json_equity_intervention_roi.log
equity_outcomes,python_dashboard,equity_outcomes_dashboard.py,query compatibility,SELECT * LIMIT 100 runs,PASS,query_audit/py_equity_records.log
equity_outcomes,python_dashboard,equity_outcomes_dashboard.py,db path,hardcoded to openedDataEstate path,WARN,file content

class_effectiveness,json_definition,schema/class_effectiveness_definition.json,class_id/subject metrics,references non-existent class_id/subject/learning_gain fields,FAIL,query_audit_extended/json_class_perf_vs_peer.log
class_effectiveness,python_dashboard,class_effectiveness_dashboard.py,query compatibility,SELECT * LIMIT 100 shape-compatible,PASS,file content and schema_class_section_comparison.txt

performance_correlations,json_definition,schema/performance_correlations_definition.json,correlation_name/p_value,references non-existent fields,FAIL,query_audit_extended/json_perf_key_correlations.log
performance_correlations,json_definition,schema/performance_correlations_definition.json,intervention_status/type,references non-existent fields,FAIL,query_audit_extended/json_perf_intervention_status.log
performance_correlations,python_dashboard,performance_correlations_dashboard.py,query compatibility,SELECT * LIMIT 100 shape-compatible,PASS,file content and schema_performance_correlations.txt

wellbeing_risk,json_definition,schema/wellbeing_risk_definition.json,overall_risk_level,references non-existent field (actual: wellbeing_risk_level),FAIL,query_audit_extended/json_wellbeing_high_risk.log
wellbeing_risk,json_definition,schema/wellbeing_risk_definition.json,flag fields,references non-existent *_risk_flag fields,FAIL,query_audit_extended/json_wellbeing_domain_breakdown.log
wellbeing_risk,python_dashboard,wellbeing_risk_dashboard.py,query compatibility,SELECT * LIMIT 100 shape-compatible,PASS,file content and schema_wellbeing_risk_profiles.txt
wellbeing_risk,python_dashboard,wellbeing_risk_dashboard.py,db path,hardcoded to openedDataEstate path,WARN,file content

rill_project,config,rill_project/connectors/duckdb.yaml,dsn portability,absolute machine path hardcoded,WARN,file content
rill_project,parity,rill_project/dashboards/chronic_absenteeism_risk.yaml,dashboard parity,missing measures/dimension/default_sort vs root dashboard,WARN,previous diff output and rill_project_audit_report.md
rill_project,parity,rill_project/dashboards/equity_outcomes_by_demographics.yaml,dashboard parity,missing measures/default_sort vs root dashboard,WARN,previous diff output and rill_project_audit_report.md
